question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,easy,1
"Solution set of the system $4 x-3 y+2 z-3=0, x+y-3 z-13=0, \frac{1}{2} x+y+\frac{1}{4} z-\frac{9}{2}=0$",,moderate,"Reverse Solve the equations
(a) $4(1)-3(-1)+2(0)-3=4+3-3 \neq 0 \quad$ not satisfy
(b) $4(4)-3(3)+2(-2)-3=16-9-4-3=0$
$4+3-3(2)-13=13-13=0, \quad \frac{1}{2}(4)+3+\frac{1}{4}(-2)-\frac{9}{2}=2+3-\frac{1}{2}-\frac{9}{2}=0$
So option satisfies all the equations",,86,"\{(1,-1,0)\}","\{(4,3,-2)\}","\{(-3,0,5)\}","\{(2,10,43)\}",,,,,2,,
"If $A, B, C$ are three matrices such that $A B=C$ then which is true?
(I) $B=\frac{C}{A}$
(II) $\mathrm{B}=\mathrm{CA}^{-1}(\mathrm{III}) \mathrm{B}=\mathrm{A}^{-1} \mathrm{C}$
(a) I and III
(b) II and III
(c) III only
(d) I only",,moderate,"notation (I) is not matrix notation, and notation II is only satisfied for closure law which generally not holds in matrices.",,86,I & II ,II &III,III only,I only,,,,,3,,
A matrix $A$ is said to be a skew symmetric matrix if $A^{t}$ is equal to,,easy,Definition of skew symmetric matrix,,86,A,#NAME?,$A^{2}$,-$A^{2}$,,,,,2,,
"If $A$ is a square matrix of order $4,$ and $|A|=5$ the $|2 A|=?$",,moderate,"property of Matrices $|k A|=k^{n}|A|,$ where $n$ is order. So, $2^{4} * 5=80$",,86,10,20,40,80,,,,,4,,
"$X\left[\begin{array}{cc}5 & 2 \\ -2 & 1\end{array}\right]=\left[\begin{array}{cc}-1 & 5 \\ 12 & 3\end{array}\right],$ then $X=?$",,moderate,"Reverse Solve, multiple the options at place of $x$
(a) $[2433][52-21]=[10-84+415-66+3]=[2899] \quad$ not satisfy
(b) $[132-1][52-21]=[5-62+310+24-1]=[-15123] \quad$ Satisfy",,86,$\left[\begin{array}{ll}2 & 4 \\ 3 & 3\end{array}\right]$,$\left[\begin{array}{cc}1 & 3 \\ 2 & -1\end{array}\right]$,$\left[\begin{array}{ll}1 & 0 \\ 0 & 1\end{array}\right]$,$\left(\begin{array}{cc}2 & 2 \\ 22 & 2\end{array}\right)$,,,,,2,,
If $A$ and $B$ are two invertible matrices of order 3 each then $(B A)^{-1}=?$,,easy,"Special Property of Matrices:
$(A B)^{-1}=B^{-1} A^{-1}$",,86,$B^{-1} A^{-1}$,$A^{-1} B^{-1}$,$A^{-1} B$,$AB^{-1}$,,,,,2,,
If A is a square matrix of order 3 having a row of zeros the determinant of A = ?,,easy,"For any matrix with a zero row, determinant is 0",,86,1,0,Any real number,-2,,,,,2,,
"$\Delta=\left|\begin{array}{ccc}1 & \omega & \omega^{2} \\ \omega & \omega^{2} & 1 \\ \omega^{2} & 1 & \omega\end{array}\right|$
where $\omega$ is cube root of unity, then $\Delta=?$",,easy,$\begin{aligned} R_{1}^{\prime}=R_{1}+R_{2} &+R_{3} \quad\left[1+\omega+\omega^{2} 1+\omega+\omega^{2} 1+\omega+\omega^{2} \omega \omega^{2}+\omega^{2} 1 \omega\right] \\ &=\left|000 \omega \omega^{2} 1 \omega^{2} 1 \omega\right|=0 \quad \text { since } 1+\omega+\omega^{2}=0 \end{aligned}$,,86,1,-1,0,3,,,,,3,,
If A is a square matrix of order 3 then,,easy,"property of Matrices $|k A|=k^{n}|A|,$ where $n$ is order. $|2 A|=2^{3}|A|=8|A|$",,86,2 det $A$,4 det $A$,0,8 det $A$,,,,,4,,
$\left|\begin{array}{ccc}1 & 0 & 0 \\ 2 & \cos x & \sin x \\ 3 & \sin x & \cos x\end{array}\right|=?$,,moderate,"open from $R_{1}, 1 | \cos \cos x$ sinsin $x \sin \sin x \cos \cos x |=x-x=\cos \cos 2 x$",,86,1,0,cos 2x,sin 2x,,,,,3,,
"The system of the equations has
 $-3 x-6 y=33$
 $x+2 y=11$",,moderate,"Parallel equations, both equations are same with common multiplication factor and hence the matrix will be singular.",,86,Only one solution,Finite many solutions,No solution,Infinite solutions,,,,,4,,
"The value of $"" \lambda ""$ for which the system of equation does not have a solution
\[
\begin{array}{l}
x+y+z=6 \\
4 x+\lambda y-\lambda z=0 \\
3 x+2 y-4 z=-5
\end{array}
\]",,moderate,"Reduce matrix to echelon form, $R_{2}-4 R_{1}, R_{3}-3 R_{1}$ $[1110 \lambda-4-\lambda-40-1-7],$ for $\lambda=-3, R_{2}=R_{3}$",,86,3,-3,0,1,,,,,1,,
If $A$ and $B$ are square matrices of same order then $(A+B)^{2}=A^{2}+2 A B+B^{2}$ if,,moderate,"Simplify them
(a) For $A B=B A \quad(A+B)^{2}=A^{2}+A B+B A+B^{2}=A^{2}+2 A B+B^{2}$
(b) For $A=-B$
$(0)^{2}=(-B+B)^{2}=-B^{2}-B^{2}-B^{2}+B^{2}=0$
(c) For $A=B \quad(B+B)^{2}=4 B^{2}=B^{2}+B B+B B+B^{2}=4 B^{2}$",,86,AB=BA,A=-B,A=B,All of these,,,,,4,,
If $\left|\begin{array}{ll}3 & 2 \\ x & 4\end{array}\right|=0$,,easy,$\begin{aligned} \text { Simplify }(3 \times 4)-2(x)=0 & \rightarrow \quad 12-2 x=0 \quad \rightarrow 2 x=12 \\ & x=\frac{12}{2}=6 \end{aligned}$,,86,0,6,-6,5,,,,,2,,
$\left|\begin{array}{ccc}42 & 1 & 6 \\ 28 & 7 & 4 \\ 14 & 3 & 2\end{array}\right|=?$,,easy,take 7 common from $C_{1} \quad 7 | 616474232$ । $C_{1}=C_{3}$ so determinant is 0,,86,2,-2,0,214,,,,,3,,
$3 x^{4}+\sqrt{5} x^{2}+3 x+1$ is a polynomial of degree,,easy,Highest power of polynomial is 4 in the first term $3x^4$,,87,3,2,4,7,,,,,3,,
The product of four fourth roots of 64 =?,,easy,"The product of all fourth roots of number 'n' is additive inverse of number $^{\prime}-n^{\prime}$ The fourth roots on 64 will be $4,-4,4 i,-4 i$
\[
(4)(-4)(4 i)(-4 i)=64 i^{2}=64(-1)=-64
\]",,87,1,-1,4,-64,,,,,4,,
$7 y^{2}+5 \sqrt{y}+3$ is a polynomial over.,,easy,This expression is not polynomial since the variable is in radical.,,87,Natural numbers,Integers,Rational Numbers,None,,,,,4,,
$3 x^{2}+9 x+7$ is a,,easy,The number of entries of expression tells the length of polynomial. 3 means trinomial.,,87,Binomial,Monomial,Trinomial,None,,,,,3,,
If $y^{4}+y^{3}-2 y^{2}-8 y+2$ is divided by $(y+1)$ then the remainder is....,,easy,"just put the value of 'y' as $y+1=0 \rightarrow y=-1$
\[
(-1)^{4}+(-1)^{3}-2(-1)^{2}-8(-1)+2=8
\]",,87,8,0,-1,-8,,,,,1,,
Which is the root of the equation $x^{4}-9 x^{3}+6 x^{2}+2 ?$,,easy,"Reverse solve it
\[
(1)^{4}-9(1)^{3}+6(1)^{2}+2=1-9+6+2=0 \quad \text { Satisfy }
\]",,87,1,2,-2,-1,,,,,1,,
The value of the polynomial $4 x^{4}-3 x^{3}+2 x^{2}-x+5$ at $x=3$ is,,easy,"\text { Put } x=3, \quad 4(3)^{4}-3(3)^{3}+2(3)^{2}-3+5=263",,87,150,21,313,263,,,,,4,,
Quadratic equation is an equation of degree,,easy,Quadratic equation is a second degree equation,,87,0,1,2,3,,,,,3,,
"If $(\alpha+\beta)=2, \alpha \beta=1,$ then value of $\alpha^{3}+\beta^{3}=$",,moderate,$\begin{aligned}(\alpha+\beta)^{3}=& \alpha^{3}+\beta^{3}+3 \alpha \beta(\alpha+\beta) \rightarrow \\ & \alpha^{3}+\beta^{3}=(\alpha+\beta)^{3}-3 \alpha \beta(\alpha+\beta)=2^{3}-3(1)(2)=8-6=2 \end{aligned}$,,87,1,2,-2,0,,,,,2,,
"If $S_{1}$ is the solution set of equation $f(x, y)=0$ and $S_{2}$ is the solution set of $g(x, y)=0$ then the solution set of the system $f(x, y)=0$ and $g(x, y)=0$ is",,moderate,The solution set of both equations combined is the common solution of both equations so the intersection is the right option.,,87,$\mathrm{S}_{1} \cap \mathrm{S}_{2}$,$\mathrm{S}_{1} \mathrm{US}_{2}$,$S_{1}-S_{2}$,$S_{1}+S_{2}$,,,,,1,,
$\left(\frac{1+\sqrt{-3}}{2}\right)^{9}+\left(\frac{1-\sqrt{-3}}{2}\right)^{9}=?$,,easy,$\begin{aligned}(-\omega)^{9}+\left(-\omega^{2}\right)^{9}=\left(-\omega^{3}\right)^{3}+(-1)^{9}\left(\omega^{3}\right)^{3} &=-1-1=-2 \\\left(\frac{1+\sqrt{3}}{2}\right) &=-\omega \end{aligned}$,,87,2,3,0,-2,,,,,4,,
If the discriminant of $a x^{2}+b x+c=0$ is not a perfect square then its roots are:,,easy,Basic Point,,87,Equal,Irrational,Rational,Real,,,,,2,,
The product of the roots of the equation $9 x^{2}-5 x-27=0$ is,,easy,Product of roots of quadratic equation are $\frac{c}{a}=-\frac{27}{9}=-3$,,87,$\frac{5}{27}$,$\frac{-5}{9}$,$\frac{-1}{3}$,-3,,,,,4,,
The sum of the roots of the equation $12 x^{2}-7 x+4=0$ is,,easy,Sum of roots of quadratic equation $-\frac{b}{a}=-\frac{-7}{12}=\frac{7}{12}$,,87,$\frac{-7}{12}$,$\frac{12}{7}$,$\frac{7}{12}$,$\frac{1}{3}$,,,,,3,,
"If P = the sum of the roots of the equation and S=Product of the roots of the equation, then their equation can be written as",,easy,"basic definition of quadratic equation
\[
x^{2}-(\text {sum of roots}) x+(\text {product of } r \text { oot })=0
\]",,87,$x^{2}-P x+S=0$,$x^{2}+5 x+P=0$,$x^{2}-5 x+P=0$,$x^{2}-5 x-P=0$,,,,,1,,
If the discriminant of the quadratic equation is +ve then the roots are:,,easy,Basic Point,,87,Complex,Rational & equal,Real & equal,Real and unequal,,,,,4,,
Sum of the roots of equation $-a x^{2}+b x+c=0$ is,,easy,Basic point with interchanged values: $-\frac{b'}{a'}=-\frac{b}{-a}=\frac{b}{a}$,,87,$\frac{c}{a}$,$\frac{b}{a}$,$\frac{-b}{a}$,$\frac{-c}{a}$,,,,,2,,
"If the roots of the equation are $\frac{-7}{4}, \frac{4}{7}$ then the equation will be",,easy,"\begin{aligned}
\operatorname{sum} \text { of roots }-\frac{7}{4}+\frac{4}{7}=\frac{-49+16}{28}=-\frac{33}{28} & \text { Producte- } 1 \\
x^{2}-S x+P=x^{2}-\left(-\frac{33}{28}\right) x-1=28 x^{2}+33 x-28=0
\end{aligned}",,87,$28 x^{2}+33 x-28=0$,$28 x^{2}+49 x+16=0$,$28 x^{2}-49 x+16=0$,$28 x^{2}-33 x+28=0$,,,,,1,,
Value of $\omega$ (cube root of unity) is,,easy,Basic Point,,87,$-1+i \sqrt{3}$,$-1-i \sqrt{3}$,$\frac{1+i \sqrt{3}}{2}$,$\frac{-1+i \sqrt{3}}{2}$,,,,,4,,
$1+\omega+\omega^{2}=?$,,easy,The sum of all cube roots of any number is always 0,,87,1,0,-1,$\omega^{3}$,,,,,2,,
$1 . \omega . \omega^{2}=?$,,easy,The Product of all cube roots of number ‘n’ is number itself,,87,1,0,-1,$\omega$,,,,,1,,
The equation $5 x^{2}+7 x+8=0$ has,,easy,$$\text { disc is negative; } \quad b^{2}-4 a c=7^{2}-4(5)(8)=49-160=-111$$,,87,Real roots,Rational roots,Irrational roots,Imaginary roots,,,,,4,,
Which statement is true about the discriminant of the quadratic equation $c x^{2}+d x+e=0$ with $c \neq 0$,,easy,"Basic Formula with changed values
\[
b^{2}-4 a c \rightarrow \quad d^{2}-4 c e
\]",,87,$d+4 c e$,4ce,$d^{2}-4 c e$,$b^{2}-4 a c$,,,,,3,,
The nature of the roots of equation $2 x^{2}-5 x+3=0$ is,,easy,disc is perfect square $b^{2}-4 a c=5^{2}-4(3)(2)=25-24=1$,,87,Real & equal,Real and unequal,Complex,Irrational,,,,,2,,
The product of the roots of equation $p x^{2}-t x+n=0$ is,,easy,Basic formula with changed values,,87,$\frac{n}{p}$,$\frac{t}{p}$,$\frac{-t}{p}$,$\frac{p}{n}$,,,,,2,,
